colsample_bytree	gamma	learning_rate	max_depth	min_child_weight	n_estimators	subsample	mean_valid_accuracy	mean_valid_precision_macro	mean_valid_recall_macro	mean_valid_f1_macro	mean_valid_auc_ovr_macro
0.5	0	0.2	6	1	1000	1.0	0.4555128205128205	0.4482030226109174	0.4390300630741807	0.4339449691855908	0.6075496790470666
1.0	0	0.01	6	1	200	0.5	0.4609615384615385	0.44569045519274353	0.4416791786644728	0.4339279919477699	0.6397157984774414
0.5	0	0.01	8	3	200	1.0	0.45833333333333337	0.4477793193505268	0.4401578568490333	0.43386305656800966	0.6358827369962772
1.0	0	0.01	4	1	1000	0.5	0.45294871794871794	0.4516622019154325	0.4405957767722473	0.43378092002175633	0.6209446494963389
0.5	0	0.2	8	3	600	1.0	0.44794871794871793	0.4501118084813737	0.4362392019744961	0.43374254983926575	0.6140259394253937
0.5	0	0.2	8	3	1000	1.0	0.44794871794871793	0.4503544075862019	0.4347755267608209	0.4321960218353221	0.6148741382161172
1.0	0	0.2	6	3	600	1.0	0.4503846153846155	0.438314483933679	0.43642762466291873	0.43204193230280186	0.6158564484940852
0.5	0	0.01	6	3	600	1.0	0.450448717948718	0.4458268992540092	0.43623080351021526	0.4318129245210998	0.6143119918207234
1.0	0	0.01	8	1	600	0.5	0.45307692307692304	0.4495681821008244	0.4364617898441428	0.43177989387659854	0.6259825311017597
0.5	0	0.01	4	1	600	0.5	0.46326923076923077	0.44189303407838876	0.44076683120800764	0.43174617050226044	0.6315685100158503
0.5	0	0.2	4	3	200	0.5	0.44544871794871793	0.4374822073351485	0.43667095159742225	0.4316961251308203	0.6192358585987394
0.5	0	0.2	4	1	600	0.5	0.4428846153846154	0.4444751904155929	0.43349107591754643	0.43105388239708253	0.6047185684351011
0.5	0	0.2	4	3	600	0.5	0.44788461538461544	0.44210214221050137	0.4365689702454409	0.4306323778497962	0.6143311008297332
1.0	0	0.2	4	1	1000	1.0	0.44525641025641016	0.4363913102148397	0.43298682526623705	0.42987398424246315	0.5937897990861122
1.0	0	0.2	4	1	600	0.5	0.450448717948718	0.4373095100920178	0.43616150189679603	0.4293824961324962	0.619529432685433
1.0	0	0.2	8	3	200	1.0	0.4452564102564103	0.4327314919342783	0.4334109191462133	0.4286083259504457	0.61126045852344
0.5	0	0.01	6	1	200	1.0	0.45314102564102565	0.435041455334025	0.4351667695050049	0.42816078527188745	0.6169788978394386
0.5	0	0.01	8	1	600	1.0	0.44794871794871793	0.4390480410255952	0.4333304767128296	0.42802940296000214	0.6015630653719735
0.5	0	0.01	8	3	600	1.0	0.44788461538461544	0.4386773553244142	0.43396081859317154	0.42722553130423774	0.6173158974278965
0.5	0	0.01	4	1	200	0.5	0.4658333333333333	0.432797395604301	0.4418926253485077	0.4271289005200029	0.6493935032465239
0.5	0	0.2	8	1	200	1.0	0.44025641025641027	0.4407515387662446	0.43064256821609764	0.42691010005525226	0.5908630110642367
1.0	0	0.2	6	1	1000	1.0	0.4480128205128205	0.4309761072261072	0.4335137003519357	0.42686682025691314	0.5993750383190768
0.5	0	0.2	8	1	600	1.0	0.4426923076923077	0.43668743293743295	0.4307646030440148	0.426140849644901	0.6006311997253517
0.5	0	0.01	4	1	1000	0.5	0.45307692307692315	0.4363776757833831	0.43392859591389	0.4259791850611844	0.624679201690631
