colsample_bytree	gamma	learning_rate	max_depth	min_child_weight	n_estimators	subsample	mean_valid_accuracy	mean_valid_precision_macro	mean_valid_recall_macro	mean_valid_f1_macro	mean_valid_auc_ovr_macro
1.0	0	0.01	6	3	1000	1.0	0.4352564102564102	0.42323285558411416	0.4179831116595823	0.41304367170713024	0.6118223389115969
0.5	0	0.01	6	3	1000	1.0	0.43262820512820505	0.42535605834367446	0.4171713172448467	0.41270744330837117	0.6166562313449636
0.5	0	0.2	4	3	600	1.0	0.4300641025641026	0.4170005557737756	0.4171497783262489	0.41228871503070924	0.6067277483611276
1.0	0	0.2	8	3	600	1.0	0.4351282051282051	0.4135000217933655	0.41954082682023863	0.4122752604954484	0.6128111015352905
1.0	0	0.2	4	3	600	1.0	0.42743589743589744	0.41863541415012007	0.4149770899035604	0.4115200553363845	0.6085016009863644
0.5	0	0.01	8	1	200	1.0	0.44038461538461543	0.41792665223779785	0.42030388728918144	0.4113903036455661	0.6238420160030838
0.5	0	0.01	8	3	1000	1.0	0.43262820512820516	0.42600458093105154	0.4177268728004022	0.4112860698257378	0.6195096804632365
0.5	0	0.2	8	3	1000	1.0	0.43788461538461537	0.409429361774563	0.42162690250925544	0.41064177373982674	0.6141616925276934
1.0	0	0.01	6	1	200	0.5	0.437948717948718	0.41855653061535414	0.41824454956807894	0.4105605480146089	0.6476837317611237
1.0	0	0.2	6	3	200	1.0	0.42750000000000005	0.41549105249182644	0.415383587001234	0.4103609720820171	0.6135806869677991
0.5	0	0.01	4	3	200	1.0	0.4481410256410256	0.41869035333431615	0.42283091091914626	0.4099105511734963	0.6304914459688636
1.0	0	0.01	4	3	600	1.0	0.43782051282051276	0.4147494856190508	0.41643899401252343	0.4084350241903654	0.6100803792748083
0.5	0	0.2	8	1	200	1.0	0.4249358974358975	0.41317542780004074	0.41171854289501353	0.40624958525757854	0.6113513058710359
0.5	0	0.01	6	1	600	1.0	0.42756410256410254	0.41907464367990677	0.4104106106311988	0.4053788500832053	0.60748465660786
1.0	0	0.2	4	1	1000	1.0	0.425	0.41402217121257373	0.4100726152932035	0.4051441532510654	0.5975732737275665
1.0	0	0.2	4	3	1000	1.0	0.4248717948717949	0.40594944543473954	0.4126305475570181	0.40357869707358895	0.6082533395162261
1.0	0	0.2	8	1	1000	1.0	0.43	0.4052193268834136	0.4153044014808721	0.4031311939263375	0.6069724056011248
0.5	0	0.01	8	1	1000	1.0	0.42756410256410254	0.4142917866447278	0.41085995703642764	0.4030505579630688	0.601942101592756
1.0	0	0.01	8	1	200	1.0	0.4225641025641026	0.417756305728442	0.4069128502216738	0.4025212662422805	0.6022415193307481
1.0	0	0.2	4	3	1000	0.5	0.43249999999999994	0.404618322853617	0.4117905297317062	0.40197882995461	0.6299863230626752
1.0	0	0.2	8	3	200	1.0	0.42243589743589743	0.4048839613545496	0.40699454956807896	0.40181363605581605	0.6141901064702429
0.5	0	0.01	8	1	600	1.0	0.4301282051282051	0.4135822419181553	0.41018185246126426	0.40159102003239144	0.6068031280960299
1.0	0	0.2	8	1	200	1.0	0.4248717948717949	0.40423073687005573	0.41188788335847165	0.40070610805186935	0.59968107766501
1.0	0	0.2	6	1	200	1.0	0.42230769230769233	0.4067382320981392	0.40565519447872384	0.40055935530030007	0.5936398243976281
0.5	0	0.2	8	3	600	1.0	0.42756410256410254	0.4037739281204081	0.40868772567301975	0.4002647933572808	0.6129153828552876
0.5	0	0.01	4	1	1000	1.0	0.42756410256410254	0.41327362354993935	0.408336189953837	0.3987160895759341	0.5983526771451106
1.0	0	0.2	6	1	600	1.0	0.41967948717948717	0.39844982302412635	0.4063169591846062	0.3975617698916082	0.600510484416923
0.5	0	0.2	4	1	600	1.0	0.4172435897435897	0.4023463534802544	0.40385855157913986	0.39709817814572207	0.5983668777882636
0.5	0	0.01	6	1	1000	1.0	0.4173076923076923	0.4146808609347309	0.39932475204534035	0.396454158826017	0.5948410118375324
